subject	relation	object	time_step	date
Citizen (Syria)	Use unconventional violence	Combatant (Syrian Kurds)	600	2018-01-26
Donald Trump	Express intent to cooperate	Vladimir Putin	4800	2018-07-20
Robert Mugabe	Accuse	Citizen (Zimbabwe)	5016	2018-07-29
Police (India)	Use conventional military force	Citizen (India)	1368	2018-02-27
Australia	Host a visit	Donald Trump	4152	2018-06-23
Police (India)	Sexually assault	Women (Russia)	1896	2018-03-21
Criminal (South Africa)	Use unconventional violence	South African National Defence Force	1296	2018-02-24
Protester (Palestinian Territory, Occupied)	Demonstrate or rally	Military Personnel - Special (Israel)	3552	2018-05-29
Protester (Iran)	Demonstrate or rally	Unspecified Actor	2880	2018-05-01
North Korea	Praise or endorse	China	2088	2018-03-29
Armed Band (Philippines)	fight with small arms and light weapons	City Mayor (Philippines)	5064	2018-07-31
Benjamin Netanyahu	Consult	National Security Advisor (Israel)	5544	2018-08-20
Education Ministry (Australia)	Make statement	Government (Australia)	4368	2018-07-02
Member of the Judiciary (India)	Make an appeal or request	Government (India)	1728	2018-03-14
Ministry (India)	Consult	Raghubar Das	5496	2018-08-18
Central African Republic	Arrest, detain, or charge with legal action	Military (Gabon)	2496	2018-04-15
Student (Russia)	Consult	Military Police (Russia)	480	2018-01-21
City Mayor (Brazil)	Praise or endorse	Alberto Goldman	1776	2018-03-16
Citizen (Palestinian Territory, Occupied)	Reject proposal to meet, discuss, or negotiate	Israel	288	2018-01-13
Organization for the Prohibition of Chemical Weapons	Make a visit	United Kingdom	2424	2018-04-12
Militant (Russia)	Use unconventional violence	Russia	3072	2018-05-09
Main Opposition (India)	Consult	Ram Nath Kovind	2064	2018-03-28
Member of the Judiciary (Brazil)	Criticize or denounce	Luiz Inacio Lula Da Silva	552	2018-01-24
Moon Jae-in	Express intent to meet or negotiate	China	1680	2018-03-12
Police (India)	Make an appeal or request	Citizen (India)	4440	2018-07-05
Karen V. Karapetyan	Make statement	Armenia	2424	2018-04-12
Police (India)	Appeal for military aid	Government (India)	1680	2018-03-12
Party Member (Vietnam)	Appeal for change in leadership	Andrej Kiska	5208	2018-08-06
Recep Tayyip Erdoğan	Criticize or denounce	Head of Government (Austria)	3864	2018-06-11
Sergio Mattarella	Appeal for diplomatic cooperation (such as policy support)	Party President (Italy)	3024	2018-05-07
Foreign Affairs (Vietnam)	Make statement	Vietnam	5088	2018-08-01
Citizen (Brazil)	Conduct strike or boycott	Unspecified Actor	3528	2018-05-28
Samajwadi Janata Party	Make statement	Bharatiya Janata	1152	2018-02-18
Head of Government (India)	Make pessimistic comment	Government (India)	2064	2018-03-28
Rumen Radev	Make a visit	Macedonia	1128	2018-02-17
Nigeria	Make an appeal or request	Citizen (Nigeria)	1920	2018-03-22
Bulgaria	Sign formal agreement	Domestic Affairs (Bulgaria)	4392	2018-07-03
Ukraine	Express intent to meet or negotiate	Russia	4200	2018-06-25
India	Host a visit	Shinzo Abe	2040	2018-03-27
Nana Addo Dankwa Akufo-Addo	Express intent to cooperate	Citizen (Ghana)	4584	2018-07-11
Ministry (Canada)	Make statement	Court Judge (Canada)	3264	2018-05-17
Devendra Fadnavis	Criticize or denounce	India	4584	2018-07-11
Citizen (India)	Make pessimistic comment	Narendra Modi	3048	2018-05-08
Police (India)	Arrest, detain, or charge with legal action	Children (India)	2736	2018-04-25
Mohammed bin Salman	Make a visit	United States	1728	2018-03-14
Ilham Aliyev	Make optimistic comment	Azerbaijan	1104	2018-02-16
Government (Venezuela)	Return, release person(s)	Detainee (Venezuela)	3936	2018-06-14
Canada	Make statement	Donald Trump	3792	2018-06-08
South America	Host a visit	Rex Tillerson	744	2018-02-01
Police (India)	Investigate	Citizen (India)	408	2018-01-18
Mark McGowan	Express intent to meet or negotiate	United States	888	2018-02-07
Canada	Criticize or denounce	United States	1224	2018-02-21
North Korea	Host a visit	Military Transport Plane (United States)	4944	2018-07-26
Head of Government (Romania)	Praise or endorse	Justice Department/Ministery (Romania)	1272	2018-02-23
Russia	Engage in diplomatic cooperation	Republic of South Ossetia	5448	2018-08-16
Media (South Korea)	Make statement	North Korea	3240	2018-05-16
Donald Trump	Consult	Elizabeth II	4704	2018-07-16
Bharatiya Janata	Make statement	Uddhav Thackeray	552	2018-01-24
Foreign Affairs (China)	Consult	North Korea	2928	2018-05-03
Foreign Affairs (Israel)	Accuse	Mahmoud Abbas	2904	2018-05-02
Government (India)	Express intent to meet or negotiate	Customs Official (India)	4680	2018-07-15
India	Host a visit	United Kingdom	3600	2018-05-31
Nicola Sturgeon	Express intent to meet or negotiate	Donald Trump	4104	2018-06-21
Abdel Fattah Al-Sisi	Consult	Air Force (Egypt)	1944	2018-03-23
Citizen (India)	Demonstrate or rally	Unspecified Actor	4320	2018-06-30
Emmanuel Macron	Make a visit	China	120	2018-01-06
Police (Afghanistan)	Make statement	Attacker (Afghanistan)	5448	2018-08-16
Lawmaker (Maldives)	Threaten	Citizen (Maldives)	936	2018-02-09
Holy See (Vatican City State)	Make a visit	Ireland	5472	2018-08-17
Military Personnel - Special (India)	Use conventional military force	Pakistan administered Kashmir	4176	2018-06-24
Canada	Praise or endorse	European Union	2064	2018-03-28
Court Judge (India)	Make an appeal or request	Narendra Modi	5064	2018-07-31
United Nations	Express intent to meet or negotiate	Sergey Viktorovich Lavrov	2592	2018-04-19
Mark Rutte	Make a visit	Bulgaria	912	2018-02-08
Police (India)	Use tactics of violent repression	Protester (India)	2280	2018-04-06
Ministry (Iran)	Consult	Miguel Arias Cañete	3336	2018-05-20
Congress (India)	Impose administrative sanctions	Bharatiya Janata	1272	2018-02-23
Michel Barnier	Threaten	United Kingdom	3480	2018-05-26
N. Chandrababu Naidu	Appeal for diplomatic cooperation (such as policy support)	Citizen (India)	24	2018-01-02
Defense / Security Ministry (Russia)	Make statement	Militant (Syria)	2040	2018-03-27
Kenya	Host a visit	Tharman Shanmugaratnam	3864	2018-06-11
Rex Tillerson	Express intent to meet or negotiate	Citizen (Djibouti)	1416	2018-03-01
Japan	Praise or endorse	United States	3912	2018-06-13
Citizen (Chad)	Demonstrate or rally	Unspecified Actor	864	2018-02-06
Israel	Employ aerial weapons	Combatant (Hamas)	4920	2018-07-25
Head of Government (Turkey)	Make a visit	France	2304	2018-04-07
Citizen (Australia)	Reduce relations	Australia	5064	2018-07-31
China	Host a visit	Foreign Affairs (United States)	3912	2018-06-13
Justice Department/Ministery (Philippines)	Arrest, detain, or charge with legal action	Drug Gang (Philippines)	4776	2018-07-19
China	Criticize or denounce	India	1584	2018-03-08
Legislature (Latvia)	Make an appeal or request	Ilmars Rimsevics	1224	2018-02-21
Greece	Host a visit	Jean-Claude Juncker	2832	2018-04-29
Afghanistan	Make statement	Armed Gang (Afghanistan)	1296	2018-02-24
Military (Afghanistan)	Use conventional military force	Citizen (Afghanistan)	4200	2018-06-25
France	Host a visit	Shinzo Abe	4104	2018-06-21
Alassane Ouattara	Make an appeal or request	Citizen (Cote d'Ivoire)	0	2018-01-01
Brazil	Sign formal agreement	Colombia	4704	2018-07-16
Head of Government (Bolivia)	Make a visit	Peru	2496	2018-04-15
Government (India)	Make an appeal or request	Facebook	3768	2018-06-07
Latin America	Make statement	Costa Rica	192	2018-01-09
Military (Ghana)	Use conventional military force	Citizen (Ghana)	912	2018-02-08
Police (Iraq)	Arrest, detain, or charge with legal action	Citizen (France)	2736	2018-04-25
Shahid Khaqan Abbasi	Make statement	Pakistan	2376	2018-04-10
Turkey	Use conventional military force	Syria	1872	2018-03-20
Public Prosecutor (Germany)	Accuse	Nurse (Germany)	504	2018-01-22
James Michel	Make statement	Government (Brazil)	1872	2018-03-20
Randeep Surjewala	Criticize or denounce	Narendra Modi	4440	2018-07-05
Armed Gang (Afghanistan)	Carry out suicide bombing	Military (Afghanistan)	672	2018-01-29
Senate (Russia)	Make statement	Valery Dmitrievich Zorkin	720	2018-01-31
UN Security Council	Criticize or denounce	Government (Ukraine)	3744	2018-06-06
Women / Children / Social / Welfare / Development / Religion Ministry (Vietnam)	Express intent to cooperate	Laos	576	2018-01-25
Jüri Ratas	Make an appeal or request	Foreign Affairs (Estonia)	4128	2018-06-22
Citizen (Nigeria)	Make an appeal or request	Muhammadu Buhari	1032	2018-02-13
United Kingdom	Praise or endorse	United States	1032	2018-02-13
Pdea	Arrest, detain, or charge with legal action	Citizen (Philippines)	5256	2018-08-08
Head of Government (United States)	Consult	The Observer	3648	2018-06-02
Military (India)	fight with small arms and light weapons	Militant (India)	4296	2018-06-29
Other Authorities / Officials (United Kingdom)	Make an appeal or request	Citizen (United Kingdom)	1320	2018-02-25
Government (India)	Make statement	Lok Sabha	2064	2018-03-28
Foreign Affairs (United States)	Make a visit	Nicaragua	4080	2018-06-20
Military (Syria)	Use conventional military force	Armed Rebel (Syria)	4776	2018-07-19
Cabinet / Council of Ministers / Advisors (Bangladesh)	Consult	Governor (Bangladesh)	3240	2018-05-16
Germany	Arrest, detain, or charge with legal action	Citizen (Syria)	1680	2018-03-12
Congress (India)	Criticize or denounce	Bharatiya Janata	4200	2018-06-25
Police (India)	Make statement	India	5544	2018-08-20
United States	Host a visit	Manohar Parrikar	1584	2018-03-08
Sherif Ismail	Consult	Nikos Christodoulides	2400	2018-04-11
Donald Trump	Make statement	United Kingdom	3048	2018-05-08
Police (Lebanon)	Arrest, detain, or charge with legal action	Men (Lebanon)	5376	2018-08-13
Congress (India)	Make an appeal or request	Citizen (India)	5136	2018-08-03
Rodrigo Duterte	Consult	Head of Government (Philippines)	2832	2018-04-29
Nikol Pashinyan	Consult	Vladimir Putin	3360	2018-05-21
Citizen (Kenya)	Demand	Raila Odinga	4032	2018-06-18
Media Personnel (Uganda)	Make statement	Criminal (Uganda)	3456	2018-05-25
Farm Worker (India)	Demonstrate or rally	Unspecified Actor	984	2018-02-11
European Union	Consult	Taiwan	1920	2018-03-22
Citizen (India)	Make pessimistic comment	India	1752	2018-03-15
Turkey	Use conventional military force	Militia (Turkish Kurds)	552	2018-01-24
Sergey Viktorovich Lavrov	Express intent to meet or negotiate	Shanghai Cooperation Organization	2568	2018-04-18
Li Keqiang	Make a visit	Industrial / Textiles / Mining Ministry (Cambodia)	216	2018-01-10
Head of Government (Lebanon)	Consult	Progressive Socialist Party	4608	2018-07-12
Citizen (India)	Return, release person(s)	Police (India)	4320	2018-06-30
Malcolm Bligh Turnbull	Praise or endorse	Association of Southeast Asian Nations	1800	2018-03-17
Citizen (Nicaragua)	Demonstrate or rally	Daniel Ortega	4608	2018-07-12
Mohammed bin Salman	Make a visit	United Kingdom	1728	2018-03-14
Donald Trump	Express intent to engage in diplomatic cooperation (such as policy support)	Russia	72	2018-01-04
Court Judge (Puerto Rico)	Investigate	Police (Argentina)	576	2018-01-25
Parkash Singh Badal	Consult	Court Judge (India)	5712	2018-08-27
Belgium	Reject plan, agreement to settle dispute	Theresa May	4968	2018-07-27
Customs Official (India)	Arrest, detain, or charge with legal action	Citizen (India)	504	2018-01-22
Bharatiya Janata	Make an appeal or request	Anil Baijal	1776	2018-03-16
Business (India)	Make statement	Areeb Majeed	576	2018-01-25
Shinzo Abe	Express intent to engage in diplomatic cooperation (such as policy support)	Citizen (Latvia)	288	2018-01-13
Professor (India)	Make an appeal or request	Citizen (India)	2544	2018-04-17
India	Make statement	Treasury/Finance Ministry (India)	576	2018-01-25
Citizen (Australia)	Use unconventional violence	Australia	3984	2018-06-16
Gambia	Make an appeal or request	Medical Personnel (Gambia)	1848	2018-03-19
Militant (Egypt)	fight with small arms and light weapons	Military Personnel - Special (Egypt)	2160	2018-04-01
Police (India)	Accuse	Citizen (India)	5328	2018-08-11
Representatives (Ethiopia)	Praise or endorse	Abiy Ahmed	3744	2018-06-06
Governing Party (Slovakia)	Make statement	Domestic Affairs (Slovakia)	1704	2018-03-13
Labor Union (India)	Consult	Cabinet / Council of Ministers / Advisors (India)	4200	2018-06-25
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	1056	2018-02-14
Caribbean	Express intent to meet or negotiate	United States	4464	2018-07-06
Men (Nicaragua)	Criticize or denounce	Human Rights Group (Nicaragua)	4512	2018-07-08
India	Expel or deport individuals	Settler (India)	3624	2018-06-01
UN Security Council	Consult	Sergey Viktorovich Lavrov	1896	2018-03-21
Uddhav Thackeray	Express intent to engage in diplomatic cooperation (such as policy support)	Communist Party of India	3624	2018-06-01
Hong Kong	Host a visit	Xi Jinping	3096	2018-05-10
South Korea	Express intent to meet or negotiate	Kim Jong-Un	1536	2018-03-06
Reuters	Discuss by telephone	Momodu Kargbo	768	2018-02-02
South Africa	Engage in diplomatic cooperation	Congo	792	2018-02-03
Government (India)	Threaten	Police (India)	5232	2018-08-07
Head of Government (Armenia)	Make optimistic comment	National Security Agency	3288	2018-05-18
China	Host a visit	Nirmala Sitharaman	2688	2018-04-23
Mauricio Macri	Consult	Luis Almagro	3240	2018-05-16
Ehud Barak	Engage in negotiation	Yitzhak Rabin	3120	2018-05-11
Tsai Ing-wen	Make statement	Employee (Taiwan)	3600	2018-05-31
Government (Iraq)	Criticize or denounce	Iraqi Kurdistan	480	2018-01-21
Yogi Adityanath	Make an appeal or request	Nirmala Sitharaman	5376	2018-08-13
Environment Department/Ministry (India)	Bring lawsuit against	Citizen (India)	5184	2018-08-05
Macky Sall	Make an appeal or request	Education Ministry (Senegal)	5112	2018-08-02
Head of Government (India)	Make statement	Indigenous People (India)	816	2018-02-04
Head of Government (Armenia)	Make statement	Legislature (Armenia)	528	2018-01-23
Government (Yemen)	Criticize or denounce	Iran	3072	2018-05-09
Tsai Ing-wen	Make a visit	Swaziland	2592	2018-04-19
Education Ministry (India)	Accuse	Citizen (India)	888	2018-02-07
Citizen (India)	Express intent to cooperate	Member of the Judiciary (India)	1920	2018-03-22
Tran Dai Quang	Engage in negotiation	Narendra Modi	1536	2018-03-06
Donald Trump	Demand diplomatic cooperation (such as policy support)	Benjamin Netanyahu	1512	2018-03-05
Muharrem İnce	Make an appeal or request	Citizen (Turkey)	4176	2018-06-24
Sudanese Armed Forces	Use conventional military force	Sudan	3432	2018-05-24
Saudi Army	Use conventional military force	Saudi Arabian Defence Forces	1128	2018-02-17
Foreign Affairs (Iran)	Consult	European Union	3240	2018-05-16
Combatant (Nigeria)	Use unconventional violence	Nigeria	1464	2018-03-03
Ram Madhav	Make statement	Tibet Autonomous Region	2160	2018-04-01
Nicolás Maduro	Make an appeal or request	Citizen (Venezuela)	3552	2018-05-29
Criminal (Abu Sayyaf)	Abduct, hijack, or take hostage	Citizen (Philippines)	1944	2018-03-23
Alassane Ouattara	Make a visit	Ethiopia	624	2018-01-27
Saad Hariri	Criticize or denounce	Syria	3408	2018-05-23
Cabinet / Council of Ministers / Advisors (United States)	Express intent to cooperate	Nasser Bourita	4296	2018-06-29
Staffan de Mistura	Make statement	Syria	816	2018-02-04
Media Personnel (Liberia)	Consult	Defense / Security Ministry (Liberia)	432	2018-01-19
Ranjan Gogoi	Consult	Court Judge (India)	5160	2018-08-04
European Union	Consult	China	4224	2018-06-26
Jüri Luik	Express intent to engage in diplomatic cooperation (such as policy support)	Denmark	168	2018-01-08
Alexander Lukashenko	Praise or endorse	Ramzan Akhmadovich Kadyrov	768	2018-02-02
Citizen (Serbia)	Express intent to meet or negotiate	Russia	1848	2018-03-19
Niger	Consult	Nigeria	1344	2018-02-26
Citizen (Iraq)	Accuse	Government (Iraq)	3096	2018-05-10
Sumitra Mahajan	Consult	Member of Parliament (India)	3744	2018-06-06
Citizen (India)	Demonstrate or rally	Unspecified Actor	3720	2018-06-05
National Intelligence Service	Consult	Shinzo Abe	1704	2018-03-13
Adel al-Jubeir	Consult	Sven Mikser	3072	2018-05-09
Military Personnel - Special (Ukraine)	fight with small arms and light weapons	Ukraine	504	2018-01-22
Police (India)	Use conventional military force	Student (India)	1320	2018-02-25
Republican Party (Armenia)	Make statement	Serzh Sargsyan	2880	2018-05-01
United States	Make statement	Terrorist (Islamic State of Iraq and the Levant)	24	2018-01-02
United Kingdom	Host a visit	Theresa May	2976	2018-05-05
Shahid Khaqan Abbasi	Consult	Mike Pence	2064	2018-03-28
Moon Jae-in	Make an appeal or request	North Korea	3480	2018-05-26
Islamic State of Iraq and the Levant	Use conventional military force	Citizen (Pakistan)	2208	2018-04-03
Women (Sudan)	Use unconventional violence	Sudan	3240	2018-05-16
South Africa	Confiscate property	Farm Worker (South Africa)	5616	2018-08-23
Legislature (Turkey)	Praise or endorse	Ruling Party (Turkey)	4344	2018-07-01
Company - Owner or Operator (China)	Appeal for diplomatic cooperation (such as policy support)	Government (China)	5256	2018-08-08
Armed Opposition (India)	Use unconventional violence	Citizen (India)	3744	2018-06-06
Men (Montenegro)	Conduct suicide, car, or other non-military bombing	Foreign Affairs (United States)	1248	2018-02-22
Nitin Gadkari	Express intent to meet or negotiate	Party Member (India)	1512	2018-03-05
Iran	Engage in diplomatic cooperation	Russia	2304	2018-04-07
India	Arrest, detain, or charge with legal action	Criminal (India)	1728	2018-03-14
Foreign Affairs (Ecuador)	Grant asylum	Julian Paul Assange	504	2018-01-22
Activist (India)	Demonstrate or rally	Unspecified Actor	4536	2018-07-09
India	Arrest, detain, or charge with legal action	Citizen (India)	4224	2018-06-26
Al Qaeda	Threaten with military force	Yemen	528	2018-01-23
Government (South Africa)	Expel or deport individuals	Winnie Madikizela-Mandela	2424	2018-04-12
Turkey	Arrest, detain, or charge with legal action	Citizen (Turkey)	504	2018-01-22
Justice Department/Ministery (France)	Consult	Labor Union (France)	432	2018-01-19
Wang Yi	Engage in negotiation	Other Authorities / Officials (China)	4584	2018-07-11
Sitaram Yechury	Make statement	Police (India)	3672	2018-06-03
Muqtada Al-Sadr	Make an appeal or request	Citizen (Iraq)	3888	2018-06-12
Senate (Philippines)	Praise or endorse	Rodrigo Duterte	4104	2018-06-21
Police (India)	Use conventional military force	Congress (India)	1248	2018-02-22
Military (Turkey)	Use conventional military force	Syrian Kurds	504	2018-01-22
Japan	Engage in negotiation	North Korea	3912	2018-06-13
Military Personnel (India)	Criticize or denounce	Member of the Judiciary (India)	672	2018-01-29
Military Personnel (Syria)	Praise or endorse	Bashar al-Assad	1488	2018-03-04
G7	Make a visit	Canada	576	2018-01-25
International Organization for Migration	Make statement	Displaced Families (Ethiopia)	4680	2018-07-15
Government (Nigeria)	Accuse	Head of Government (Nigeria)	576	2018-01-25
Lawmaker (Bosnia and Herzegovina)	Make an appeal or request	Government (Bosnia and Herzegovina)	5400	2018-08-14
Belgium	Host a visit	European Union	1848	2018-03-19
Citizen (Vietnam)	Torture	Prisoner of War (Vietnam)	3072	2018-05-09
Egypt	Arrest, detain, or charge with legal action	Militant (Egypt)	984	2018-02-11
Cabinet / Council of Ministers / Advisors (India)	Coerce	Citizen (India)	4464	2018-07-06
Muhammadu Buhari	Reduce or break diplomatic relations	Rwanda	1920	2018-03-22
Saba News Agency	Make statement	Ahmed bin Ahmed al-Maysari	4536	2018-07-09
Military (Australia)	Investigate	Police (Australia)	4680	2018-07-15
Government (United Kingdom)	Sign formal agreement	European Union	360	2018-01-16
Member of Parliament (India)	Accuse	Lok Sabha	4872	2018-07-23
People Associated with the Opposition (India)	Criticize or denounce	Narendra Modi	696	2018-01-30
Nigeria	Praise or endorse	Army Personnel (Nigeria)	3216	2018-05-15
Canada	Make pessimistic comment	Saudi Arabia	5232	2018-08-07
Police (Portugal)	Make statement	Hell's Angels	4584	2018-07-11
Presidential Candidate (Zimbabwe)	Criticize or denounce	Citizen (Zimbabwe)	4416	2018-07-04
Senate (Nigeria)	Accuse	People's Democratic Party (Nigeria)	4056	2018-06-19
Finance / Economy / Commerce / Trade Ministry (Russia)	Make statement	United Kingdom	2424	2018-04-12
Malkiat Singh	Make an appeal or request	Citizen (India)	2040	2018-03-27
National Security Advisor (South Korea)	Express intent to meet or negotiate	North Korea	1608	2018-03-09
Narendra Modi	Make statement	Bharatiya Janata	5352	2018-08-12
Police (India)	Arrest, detain, or charge with legal action	Children (India)	2424	2018-04-12
Hamas	Make an appeal or request	International Government Organizations	1872	2018-03-20
Party Member (Bangladesh)	Make pessimistic comment	Mirza Fakhrul Islam Alamgir	2064	2018-03-28
Government (Germany)	Praise or endorse	Iran	3024	2018-05-07
Yemeni Armed Forces	Use conventional military force	Al Qaeda	1056	2018-02-14
Citizen (Azerbaijan)	Threaten with military force	Islamic Preacher (Azerbaijan)	5376	2018-08-13
Pham Binh Minh	Praise or endorse	Cambodia	5112	2018-08-02
Business (India)	Demand	Government (India)	2328	2018-04-08
Lawyer/Attorney (Philippines)	Accuse	Citizen (Philippines)	3528	2018-05-28
Quds Force	Rally opposition against	Iran	2424	2018-04-12
Georgia	Make statement	Giorgi Kvirikashvili	600	2018-01-26
United States	Praise or endorse	Taliban	96	2018-01-05
United Nations	Appeal for diplomatic cooperation (such as policy support)	Indigenous People (Sudan)	3528	2018-05-28
Lok Sabha	Make pessimistic comment	Government (India)	4896	2018-07-24
Ministry of Tourism (India)	Make statement	Police (India)	4416	2018-07-04
Iran	Consult	Turkey	840	2018-02-05
James Mattis	Consult	Vietnam	600	2018-01-26
Yoshihide Suga	Make statement	Government (Japan)	4200	2018-06-25
Muhammadu Buhari	Express intent to meet or negotiate	Foreign Affairs (United States)	1680	2018-03-12
Petro Poroshenko	Praise or endorse	European Parliament	3912	2018-06-13
United States	Impose embargo, boycott, or sanctions	Business (Pakistan)	2064	2018-03-28
Member of the Judiciary (Ireland)	Make statement	Ireland	1056	2018-02-14
Police (Armenia)	Make statement	Nikol Pashinyan	2664	2018-04-22
Citizen (Canada)	Express intent to meet or negotiate	Company - Owner or Operator (Canada)	576	2018-01-25
